timestep	temperature	potential_energy	kinetic_energy
0	0.3335475624	-194195.2188	125079.3281
500	0.003329912201	-196024.7656	1248.707031
1000	0.003332692664	-201959.9062	1249.749756
1500	0.03654982522	-247870.4062	13706.07422
2000	0.01382338908	-330614.9375	5183.729492
2500	0.008302820846	-387916.1875	3113.532715
3000	0.005745029077	-429006.0625	2154.368652
3500	0.004517568275	-460576.1875	1694.074463
4000	0.003870392684	-486818.3125	1451.38562
4500	0.003512289142	-509872.375	1317.0979
5000	0.003267476335	-530755.875	1225.293823
5500	0.00310315378	-549970.0625	1163.67334
6000	0.003021884244	-567929.25	1133.19751
6500	0.003011720721	-585113.25	1129.38623
7000	0.00300725596	-601695.8125	1127.711914
7500	0.003027143655	-617703	1135.1698
8000	0.003071319778	-633245.9375	1151.735718
8500	0.003124753013	-648394.375	1171.772949
9000	0.003175043035	-663098.5	1190.631592
9500	0.003260859521	-677405.125	1222.8125
10000	0.003372894833	-691446.4375	1264.825439
10500	0.003510319395	-705257	1316.359253
11000	0.003676948138	-718910.375	1378.844482
11500	0.003869977081	-732461.75	1451.229736
12000	0.004064263776	-745875.75	1524.08667
12500	0.004329151008	-759239.6875	1623.418701
13000	0.004614391364	-772623.25	1730.382812
13500	0.004947938956	-786096.375	1855.462158
14000	0.00532344589	-799692.75	1996.276245
14500	0.005649589468	-813354.3125	2118.579102
15000	0.006022842601	-827020	2258.547852
15500	0.006401738618	-840792.1875	2400.632812
16000	0.006785838399	-854623.3125	2544.668945
16500	0.007107295096	-868419.75	2665.214355
17000	0.007425071206	-882086.875	2784.379395
17500	0.007773954421	-895745.75	2915.209473
18000	0.008128532209	-909382.5	3048.175293
18500	0.00833907444	-922876.3125	3127.12793
19000	0.008601678535	-936180.75	3225.603516
19500	0.008801230229	-949268.625	3300.435059
20000	0.009051663801	-962117.9375	3394.34668
20500	0.009376569651	-974940.75	3516.185303
21000	0.009493457153	-987473.5625	3560.018066
21500	0.009637181647	-999654.625	3613.914062
22000	0.009790755808	-1011523.625	3671.50415
22500	0.01020111796	-1023296.125	3825.388428
23000	0.0103283627	-1034803.75	3873.10498
23500	0.01053360756	-1046029.25	3950.071045
24000	0.0106733758	-1056946.75	4002.483887
24500	0.01090412494	-1067569.625	4089.01416
25000	0.01124507468	-1078057	4216.869141
25500	0.01141548436	-1088286	4280.772461
26000	0.0115886284	-1098235	4345.700684
26500	0.01178730279	-1107893.875	4420.203125
27000	0.01205256488	-1117331.75	4519.675781
27500	0.01229470875	-1126569.625	4610.479004
28000	0.01240696572	-1135496	4652.574707
28500	0.01270988304	-1144234.625	4766.167969
29000	0.01282198913	-1152695.25	4808.20752
29500	0.01306263823	-1160898.375	4898.450195
30000	0.01343173254	-1168969.625	5036.859375
30500	0.01377248578	-1176911.75	5164.640625
31000	0.01393910404	-1184712.875	5227.12207
31500	0.01399281155	-1192263.5	5247.262207
32000	0.01426011976	-1199691.25	5347.501953
32500	0.01464137249	-1207039.75	5490.470703
33000	0.01481770165	-1214244.5	5556.59375
33500	0.0148266172	-1221226.75	5559.937012
34000	0.01510775369	-1228108.75	5665.362305
34500	0.01537827682	-1234877.125	5766.807617
35000	0.01557929907	-1241539.625	5842.19043
35500	0.0156067498	-1247951	5852.484375
36000	0.01584968716	-1254249.25	5943.584961
36500	0.01605380699	-1260419.75	6020.129395
37000	0.01614695974	-1266357.375	6055.061523
37500	0.01644324884	-1272184	6166.168945
38000	0.01669658907	-1277891.25	6261.170898
38500	0.016881641	-1283435.75	6330.564453
39000	0.01711019687	-1288878.25	6416.272461
39500	0.017324863	-1294221.5	6496.771484
40000	0.01741599478	-1299378.75	6530.945801
40500	0.01751943678	-1304358.5	6569.73584
41000	0.01784550212	-1309251	6692.009766
41500	0.01814456657	-1314036.125	6804.157715
42000	0.01846817508	-1318789.125	6925.510254
42500	0.01864274405	-1323476.75	6990.972656
43000	0.01874342188	-1328099.75	7028.726562
43500	0.0189417433	-1332669.5	7103.09668
44000	0.01918662712	-1337200.5	7194.927734
44500	0.01938440092	-1341669.5	7269.092285
45000	0.01940796711	-1346003.25	7277.929688
45500	0.01959840395	-1350295.375	7349.342285
46000	0.01969634555	-1354438.5	7386.070312
46500	0.0198368039	-1358430.25	7438.741699
47000	0.02020082623	-1362368.125	7575.249023
47500	0.02067907713	-1366310	7754.591797
48000	0.02081804909	-1370153.25	7806.706055
48500	0.02082434483	-1373930.75	7809.066895
49000	0.02083252557	-1377599	7812.134766
49500	0.02114121616	-1381245.125	7927.892578
50000	0.02146358415	-1384823.5	8048.779785
50500	0.0218211282	-1388387.25	8182.857422
51000	0.02196736075	-1391887	8237.694336
51500	0.02204980701	-1395377.5	8268.611328
52000	0.0220580101	-1398768.25	8271.6875
52500	0.02224525623	-1402111.75	8341.904297
53000	0.02257457934	-1405412.75	8465.399414
53500	0.02278995514	-1408633	8546.165039
54000	0.02298717946	-1411809.5	8620.123047
54500	0.02312402613	-1414924.75	8671.44043
55000	0.02329047769	-1417980.75	8733.859375
55500	0.02358409204	-1421032.625	8843.963867
56000	0.02367919683	-1423972.125	8879.62793
56500	0.02376522869	-1426844.25	8911.889648
57000	0.02393038198	-1429629.25	8973.821289
57500	0.02433008328	-1432425	9123.708008
58000	0.02466018684	-1435191.5	9247.496094
58500	0.02484738082	-1437943.75	9317.693359
59000	0.02481069416	-1440618.25	9303.935547
59500	0.02492376044	-1443277.75	9346.334961
60000	0.02508664131	-1445837.625	9407.415039
60500	0.02537223697	-1448339	9514.512695
61000	0.02569814026	-1450799.5	9636.725586
61500	0.02620483562	-1453361	9826.734375
62000	0.02621468343	-1455855.25	9830.427734
62500	0.02628077008	-1458432	9855.209961
63000	0.02624601685	-1460976	9842.177734
63500	0.02629378438	-1463467.5	9860.089844
64000	0.02644511312	-1465849.25	9916.837891
64500	0.02669601142	-1468105	10010.92383
65000	0.02717456594	-1470337.375	10190.38086
65500	0.02754563279	-1472530.75	10329.5293
66000	0.02772779204	-1474726.875	10397.83887
66500	0.02763441764	-1476862.75	10362.82324
67000	0.02780496515	-1479037.75	10426.77832
67500	0.0280220937	-1481174	10508.20117
68000	0.02829542011	-1483283.5	10610.69727
68500	0.02854217216	-1485379.5	10703.22852
69000	0.02873624116	-1487485.75	10776.00391
69500	0.0288514141	-1489584.75	10819.19336
70000	0.02884748392	-1491606.5	10817.71973
70500	0.02879487351	-1493503.125	10797.99121
71000	0.02918135375	-1495397.25	10942.91992
71500	0.02967709675	-1497249.25	11128.82227
72000	0.03003775142	-1499076	11264.06641
72500	0.0302056279	-1500918.375	11327.01953
73000	0.03027751297	-1502807.375	11353.97656
73500	0.03021293506	-1504659.75	11329.75977
74000	0.03035415523	-1506519.625	11382.7168
74500	0.03062358871	-1508330.375	11483.75391
75000	0.0307695251	-1510023.75	11538.47949
75500	0.03100048564	-1511678.375	11625.08887
76000	0.03131471947	-1513317.5	11742.92578
76500	0.03173132241	-1515025.75	11899.15039
77000	0.03203668818	-1516785.75	12013.66113
77500	0.03191014007	-1518495	11966.20703
78000	0.03175475448	-1520199.25	11907.9375
78500	0.03188434988	-1521886.5	11956.53516
79000	0.03219621629	-1523501.75	12073.48438
79500	0.03257885948	-1525053	12216.97461
80000	0.03305964172	-1526643	12397.2666
80500	0.03316893429	-1528174.125	12438.25
81000	0.03320679814	-1529749.5	12452.44922
81500	0.03321456909	-1531315.5	12455.36328
82000	0.03328401968	-1532832.75	12481.40723
82500	0.03356808424	-1534336.875	12587.93066
83000	0.03400272876	-1535825.5	12750.9209
83500	0.03430425003	-1537307.25	12863.99023
84000	0.03451941907	-1538838.625	12944.67871
84500	0.03445058316	-1540308.5	12918.86523
85000	0.03456908837	-1541844.875	12963.30469
85500	0.03463108093	-1543309.25	12986.55078
86000	0.03474150598	-1544696.125	13027.96094
86500	0.03505736217	-1546047.625	13146.40527
87000	0.03546003252	-1547366.375	13297.40625
87500	0.0357498005	-1548658.25	13406.06738
88000	0.03597195074	-1549984.625	13489.37305
88500	0.03616710752	-1551381.25	13562.55664
89000	0.03620103747	-1552787.5	13575.28027
89500	0.03625258803	-1554201.75	13594.61133
90000	0.03629293665	-1555552.625	13609.74219
90500	0.03643978015	-1556823.875	13664.80859
91000	0.03695663437	-1558114.875	13858.62695
91500	0.03726470843	-1559310	13974.1543
92000	0.03762857616	-1560588.5	14110.60352
92500	0.03751748428	-1561793.125	14068.94336
93000	0.03762994334	-1563127.125	14111.11523
93500	0.03774482757	-1564452.75	14154.19727
94000	0.03781440482	-1565700.25	14180.28809
94500	0.03797791526	-1566871.625	14241.60352
95000	0.03838706389	-1568033.875	14395.0332
95500	0.03867525607	-1569140.5	14503.10449
96000	0.03885830566	-1570258.25	14571.74805
96500	0.03890986368	-1571358.5	14591.08203
97000	0.03924031556	-1572570.75	14715
97500	0.03938177973	-1573727.5	14768.04883
98000	0.03936725482	-1574820.75	14762.60254
98500	0.03954374045	-1575912.5	14828.7832
99000	0.03978485987	-1576951.125	14919.20312
99500	0.0401972346	-1578006.5	15073.8418
100000	0.04053285718	-1579067.375	15199.69922
100500	0.04078384116	-1580209.25	15293.81836
101000	0.04050028324	-1581247.75	15187.48438
101500	0.04053307697	-1582355.625	15199.78223
102000	0.04075004905	-1583404.5	15281.14648
102500	0.04105170816	-1584357.75	15394.26758
103000	0.04135452956	-1585245.125	15507.82422
103500	0.04175139219	-1586164.75	15656.64648
104000	0.0418981798	-1587058.25	15711.69141
104500	0.04222588986	-1588101	15834.58203
105000	0.04208496585	-1589064.625	15781.73535
105500	0.04212745652	-1590101.25	15797.66895
106000	0.04228063673	-1591089.625	15855.11133
106500	0.04253347218	-1592033.125	15949.9248
107000	0.04281619564	-1592954.75	16055.94531
107500	0.04319030792	-1593899.25	16196.23535
108000	0.04338407144	-1594788.125	16268.89648
108500	0.04353686422	-1595717.75	16326.19336
109000	0.04349405691	-1596599	16310.14062
109500	0.04358232766	-1597469.125	16343.24219
110000	0.04381964356	-1598298.25	16432.23438
110500	0.04419585317	-1599098.875	16573.3125
111000	0.04450421035	-1599864.25	16688.94531
111500	0.0447704792	-1600670.75	16788.79492
112000	0.04482880607	-1601463	16810.66797
112500	0.04505679756	-1602372.5	16896.16406
113000	0.04501197115	-1603206.25	16879.35352
113500	0.04518848658	-1604078.5	16945.54688
114000	0.04540920258	-1604882.375	17028.31445
114500	0.04567627609	-1605658.375	17128.4668
115000	0.04601186886	-1606469.5	17254.3125
115500	0.04625825956	-1607294.625	17346.70898
116000	0.04619677737	-1608063	17323.65234
116500	0.04631492868	-1608921.625	17367.95898
117000	0.04641869664	-1609735	17406.87109
